Symbol,Date,Close
TDOC,10/3/2018 16:00:00,79.9
TDOC,10/4/2018 16:00:00,78.07
TDOC,10/5/2018 16:00:00,75.83
TDOC,10/8/2018 16:00:00,71
TDOC,10/9/2018 16:00:00,69.25
TDOC,10/10/2018 16:00:00,63.43
TDOC,10/11/2018 16:00:00,62.43
TDOC,10/12/2018 16:00:00,65.94
TDOC,10/15/2018 16:00:00,66.37
TDOC,10/16/2018 16:00:00,70.87
TDOC,10/17/2018 16:00:00,69.95
TDOC,10/18/2018 16:00:00,68.23
TDOC,10/19/2018 16:00:00,67.09
TDOC,10/22/2018 16:00:00,69.14
TDOC,10/23/2018 16:00:00,67.18
TDOC,10/24/2018 16:00:00,62.15
TDOC,10/25/2018 16:00:00,65.96
TDOC,10/26/2018 16:00:00,62.51
TDOC,10/29/2018 16:00:00,63.22
TDOC,10/30/2018 16:00:00,67.19
TDOC,10/31/2018 16:00:00,69.34
TDOC,11/1/2018 16:00:00,69.52
TDOC,11/2/2018 16:00:00,72.51
TDOC,11/5/2018 16:00:00,63.34
TDOC,11/6/2018 16:00:00,63.41
TDOC,11/7/2018 16:00:00,68.28
TDOC,11/8/2018 16:00:00,65.33
TDOC,11/9/2018 16:00:00,62.49
TDOC,11/12/2018 16:00:00,60.56
TDOC,11/13/2018 16:00:00,58.51
TDOC,11/14/2018 16:00:00,57.4
TDOC,11/15/2018 16:00:00,60.29
TDOC,11/16/2018 16:00:00,59.08
TDOC,11/19/2018 16:00:00,52.94
TDOC,11/20/2018 16:00:00,54.76
TDOC,11/21/2018 16:00:00,54.92
TDOC,11/23/2018 13:00:00,55.75
TDOC,11/26/2018 16:00:00,58.41
TDOC,11/27/2018 16:00:00,59.35
TDOC,11/28/2018 16:00:00,63.54
TDOC,11/29/2018 16:00:00,64.09
TDOC,11/30/2018 16:00:00,62.45
TDOC,12/3/2018 16:00:00,64.88
TDOC,12/4/2018 16:00:00,59.81
TDOC,12/6/2018 16:00:00,55.81
TDOC,12/7/2018 16:00:00,53.41
TDOC,12/10/2018 16:00:00,52.34
TDOC,12/11/2018 16:00:00,53.49
TDOC,12/12/2018 16:00:00,53.71
TDOC,12/13/2018 16:00:00,52.45
TDOC,12/14/2018 16:00:00,51.17
TDOC,12/17/2018 16:00:00,47.87
TDOC,12/18/2018 16:00:00,47.99
TDOC,12/19/2018 16:00:00,48.58
TDOC,12/20/2018 16:00:00,45.87
TDOC,12/21/2018 16:00:00,44.01
TDOC,12/24/2018 13:00:00,42.88
TDOC,12/26/2018 16:00:00,48.33
TDOC,12/27/2018 16:00:00,48.33
TDOC,12/28/2018 16:00:00,48.41
TDOC,12/31/2018 16:00:00,49.57
TDOC,1/2/2019 16:00:00,48.18
TDOC,1/3/2019 16:00:00,46.23
TDOC,1/4/2019 16:00:00,49.44
TDOC,1/7/2019 16:00:00,52.13
TDOC,1/8/2019 16:00:00,53.78
TDOC,1/9/2019 16:00:00,55.07
TDOC,1/10/2019 16:00:00,55.55
TDOC,1/11/2019 16:00:00,55.47
TDOC,1/14/2019 16:00:00,57.13
TDOC,1/15/2019 16:00:00,59.24
TDOC,1/16/2019 16:00:00,60.43
TDOC,1/17/2019 16:00:00,63.29
TDOC,1/18/2019 16:00:00,62.38
TDOC,1/22/2019 16:00:00,60.48
TDOC,1/23/2019 16:00:00,60.17
TDOC,1/24/2019 16:00:00,61.03
TDOC,1/25/2019 16:00:00,63
TDOC,1/28/2019 16:00:00,62.04
TDOC,1/29/2019 16:00:00,60.76
TDOC,1/30/2019 16:00:00,62.07
TDOC,1/31/2019 16:00:00,64.2
TDOC,2/1/2019 16:00:00,63.2
TDOC,2/4/2019 16:00:00,64.42
TDOC,2/5/2019 16:00:00,63.82
TDOC,2/6/2019 16:00:00,64
TDOC,2/7/2019 16:00:00,62.25
TDOC,2/8/2019 16:00:00,62.59
TDOC,2/11/2019 16:00:00,63.57
TDOC,2/12/2019 16:00:00,65.77
TDOC,2/13/2019 16:00:00,66.65
TDOC,2/14/2019 16:00:00,66.58
TDOC,2/15/2019 16:00:00,69.43
TDOC,2/19/2019 16:00:00,69.99
TDOC,2/20/2019 16:00:00,69.5
TDOC,2/21/2019 16:00:00,68.25
TDOC,2/22/2019 16:00:00,69.15
TDOC,2/25/2019 16:00:00,69.98
TDOC,2/26/2019 16:00:00,67.41
TDOC,2/27/2019 16:00:00,68.99
TDOC,2/28/2019 16:00:00,64.36
TDOC,3/1/2019 16:00:00,67.55
TDOC,3/4/2019 16:00:00,63.13
TDOC,3/5/2019 16:00:00,63.75
TDOC,3/6/2019 16:00:00,60.16
TDOC,3/7/2019 16:00:00,59.32
TDOC,3/8/2019 16:00:00,58.92
TDOC,3/11/2019 16:00:00,58.74
TDOC,3/12/2019 16:00:00,58.09
TDOC,3/13/2019 16:00:00,60.15
TDOC,3/14/2019 16:00:00,60.94
TDOC,3/15/2019 16:00:00,62.86
TDOC,3/18/2019 16:00:00,63.1
TDOC,3/19/2019 16:00:00,63.12
TDOC,3/20/2019 16:00:00,61.99
TDOC,3/21/2019 16:00:00,63.26
TDOC,3/22/2019 16:00:00,58.77
TDOC,3/25/2019 16:00:00,55.66
TDOC,3/26/2019 16:00:00,52.5
TDOC,3/27/2019 16:00:00,50.87
TDOC,3/28/2019 16:00:00,53.68
TDOC,3/29/2019 16:00:00,55.6
TDOC,4/1/2019 16:00:00,53.63
TDOC,4/2/2019 16:00:00,55.52
TDOC,4/3/2019 16:00:00,55.46
TDOC,4/4/2019 16:00:00,57.01
TDOC,4/5/2019 16:00:00,58.49
TDOC,4/8/2019 16:00:00,57.06
TDOC,4/9/2019 16:00:00,55.93
TDOC,4/10/2019 16:00:00,56.57
TDOC,4/11/2019 16:00:00,55.15
TDOC,4/12/2019 16:00:00,53.45
TDOC,4/15/2019 16:00:00,54.03
TDOC,4/16/2019 16:00:00,52.55
TDOC,4/17/2019 16:00:00,49.86
TDOC,4/18/2019 16:00:00,51.6
TDOC,4/22/2019 16:00:00,54.96
TDOC,4/23/2019 16:00:00,54.36
TDOC,4/24/2019 16:00:00,54.46
TDOC,4/25/2019 16:00:00,55.03
TDOC,4/26/2019 16:00:00,57.75
TDOC,4/29/2019 16:00:00,59.19
TDOC,4/30/2019 16:00:00,56.88
